sampleNumber	sampleNameNumber	sampleName	treatment	time	replicate	antibody	readout	cv	quality
4	S004	A2058 	combo	1hr	rep1	Akt (phospho-Ser473)	0.401367366	0.033306008	Good
5	S005	A2058 	DMSO	3.5hr	rep1	Akt (phospho-Ser473)	0.352521717	0.04782942	Good
6	S006	A2058 	901	6hr	rep1	Akt (phospho-Ser473)	0.287395429	0.040219738	Good
7	S007	A2058 	4032	6hr	rep1	Akt (phospho-Ser473)	0.242480765	0.031194818	Good
8	S008	A2058 	combo	6hr	rep1	Akt (phospho-Ser473)	0.196115545	0.031933185	Good
9	S009	A2058 	DMSO	24hr	rep1	Akt (phospho-Ser473)	0.331517856	0.039653275	Good
10	S010	A2058 	901	24hr	rep1	Akt (phospho-Ser473)	0.249386473	0.030601283	Good
11	S011	A2058 	4032	24hr	rep1	Akt (phospho-Ser473)	0.292341845	0.032152211	Good
12	S012	A2058 	combo	24hr	rep1	Akt (phospho-Ser473)	0.251356389	0.068620038	Good
13	S013	A2058 	DMSO	1hr	rep2	Akt (phospho-Ser473)	0.303058018	0.045110729	Good
14	S014	A2058 	901	1hr	rep2	Akt (phospho-Ser473)	0.435271216	0.027333611	Good
15	S015	A2058 	4032	1hr	rep2	Akt (phospho-Ser473)	0.381753275	0.024250362	Undet.
16	S016	A2058 	combo	1hr	rep2	Akt (phospho-Ser473)	0.379588206	0.030164551	Good
17	S017	A2058 	DMSO	3.5hr	rep2	Akt (phospho-Ser473)	0.364799178	0.073649386	Good
18	S018	A2058 	901	6hr	rep2	Akt (phospho-Ser473)	0.380056797	0.050874835	Good
19	S019	A2058 	4032	6hr	rep2	Akt (phospho-Ser473)	0.320133919	0.034964744	Good
20	S020	A2058 	combo	6hr	rep2	Akt (phospho-Ser473)	0.290106596	0.027678977	Good
21	S021	A2058 	DMSO	24hr	rep2	Akt (phospho-Ser473)	0.221350975	0.03095069	Good
22	S022	A2058 	901	24hr	rep2	Akt (phospho-Ser473)	0.23344525	0.032761721	Good
23	S023	A2058 	4032	24hr	rep2	Akt (phospho-Ser473)	0.16065506	0.035187481	Good
24	S024	A2058 	combo	24hr	rep2	Akt (phospho-Ser473)	0.182957542	0.02963818	Good
25	S025	A375	DMSO	1hr	rep1	Akt (phospho-Ser473)	0.089966756	0.041381827	Good
26	S026	A375	901	1hr	rep1	Akt (phospho-Ser473)	0.120638028	0.078469496	Undet.
27	S027	A375	4032	1hr	rep1	Akt (phospho-Ser473)	0.108573025	0.042498975	Good
28	S028	A375	combo	1hr	rep1	Akt (phospho-Ser473)	0.088260346	0.054325311	Good
29	S029	A375	DMSO	3.5hr	rep1	Akt (phospho-Ser473)	0.082983736	0.028991735	Good
30	S030	A375	901	6hr	rep1	Akt (phospho-Ser473)	0.076417436	0.034331381	Good
31	S031	A375	4032	6hr	rep1	Akt (phospho-Ser473)	0.069250933	0.039774147	Good
32	S032	A375	combo	6hr	rep1	Akt (phospho-Ser473)	0.058341629	0.05315928	Good
33	S033	A375	DMSO	24hr	rep1	Akt (phospho-Ser473)	0.082444701	0.030058974	Good
34	S034	A375	901	24hr	rep1	Akt (phospho-Ser473)	0.039225088	0.033300295	Good
35	S035	A375	4032	24hr	rep1	Akt (phospho-Ser473)	0.042027364	0.030639284	Good
36	S036	A375	combo	24hr	rep1	Akt (phospho-Ser473)	0.033210067	0.031441554	Good
37	S037	A375	DMSO	1hr	rep2	Akt (phospho-Ser473)	0.087141973	0.07166352	Good
38	S038	A375	901	1hr	rep2	Akt (phospho-Ser473)	0.105654407	0.030090768	Good
39	S039	A375	4032	1hr	rep2	Akt (phospho-Ser473)	0.116659842	0.030796017	Good
40	S040	A375	combo	1hr	rep2	Akt (phospho-Ser473)	0.10693553	0.028538583	Good
41	S041	A375	DMSO	3.5hr	rep2	Akt (phospho-Ser473)	0.080351517	0.032442054	Good
42	S042	A375	901	6hr	rep2	Akt (phospho-Ser473)	0.066059803	0.034486712	Good
43	S043	A375	4032	6hr	rep2	Akt (phospho-Ser473)	0.060899522	0.030181209	Good
44	S044	A375	combo	6hr	rep2	Akt (phospho-Ser473)	0.054675773	0.038916131	Good
45	S045	A375	DMSO	24hr	rep2	Akt (phospho-Ser473)	0.093225914	0.031439018	Good
46	S046	A375	901	24hr	rep2	Akt (phospho-Ser473)	0.045626407	0.058885278	Good
47	S047	A375	4032	24hr	rep2	Akt (phospho-Ser473)	0.043649211	0.03111004	Good
48	S048	A375	combo	24hr	rep2	Akt (phospho-Ser473)	0.04586381	0.035468755	Undet.
1	S001	A2058 	DMSO	1hr	rep1	AMPK alpha (phospho-Thr172)	0.424764447	0.028577272	Good
2	S002	A2058 	901	1hr	rep1	AMPK alpha (phospho-Thr172)	0.346443309	0.039817022	Good
3	S003	A2058 	4032	1hr	rep1	AMPK alpha (phospho-Thr172)	0.39377729	0.036765389	Good
4	S004	A2058 	combo	1hr	rep1	AMPK alpha (phospho-Thr172)	0.288287395	0.032227863	Good
5	S005	A2058 	DMSO	3.5hr	rep1	AMPK alpha (phospho-Thr172)	0.440203148	0.034735179	Good
6	S006	A2058 	901	6hr	rep1	AMPK alpha (phospho-Thr172)	0.317001011	0.030138871	Good
7	S007	A2058 	4032	6hr	rep1	AMPK alpha (phospho-Thr172)	0.40598931	0.033258021	Good
8	S008	A2058 	combo	6hr	rep1	AMPK alpha (phospho-Thr172)	0.360550793	0.030376005	Good
9	S009	A2058 	DMSO	24hr	rep1	AMPK alpha (phospho-Thr172)	0.493404061	0.027689912	Good
10	S010	A2058 	901	24hr	rep1	AMPK alpha (phospho-Thr172)	0.217294116	0.027122308	Undet.
11	S011	A2058 	4032	24hr	rep1	AMPK alpha (phospho-Thr172)	0.261848383	0.025947656	Good
12	S012	A2058 	combo	24hr	rep1	AMPK alpha (phospho-Thr172)	0.247095726	0.029872006	Good
13	S013	A2058 	DMSO	1hr	rep2	AMPK alpha (phospho-Thr172)	0.415557696	0.032700416	Good
14	S014	A2058 	901	1hr	rep2	AMPK alpha (phospho-Thr172)	0.323731519	0.029589872	Good
15	S015	A2058 	4032	1hr	rep2	AMPK alpha (phospho-Thr172)	0.367271725	0.029537314	Good
16	S016	A2058 	combo	1hr	rep2	AMPK alpha (phospho-Thr172)	0.322689459	0.031001269	Good
17	S017	A2058 	DMSO	3.5hr	rep2	AMPK alpha (phospho-Thr172)	0.609722377	0.035206604	Good
18	S018	A2058 	901	6hr	rep2	AMPK alpha (phospho-Thr172)	0.362438795	0.029098129	Good
19	S019	A2058 	4032	6hr	rep2	AMPK alpha (phospho-Thr172)	0.385687031	0.029430665	Good
20	S020	A2058 	combo	6hr	rep2	AMPK alpha (phospho-Thr172)	0.506705003	0.029675535	Good
21	S021	A2058 	DMSO	24hr	rep2	AMPK alpha (phospho-Thr172)	0.329068307	0.032841535	Good
22	S022	A2058 	901	24hr	rep2	AMPK alpha (phospho-Thr172)	0.228650239	0.029163946	Good
23	S023	A2058 	4032	24hr	rep2	AMPK alpha (phospho-Thr172)	0.17407969	0.033543517	Good
24	S024	A2058 	combo	24hr	rep2	AMPK alpha (phospho-Thr172)	0.241494603	0.031977185	Good
25	S025	A375	DMSO	1hr	rep1	AMPK alpha (phospho-Thr172)	0.48978838	0.027442398	Good
26	S026	A375	901	1hr	rep1	AMPK alpha (phospho-Thr172)	0.435078475	0.037928403	Good
27	S027	A375	4032	1hr	rep1	AMPK alpha (phospho-Thr172)	0.451180809	0.028845785	Good
28	S028	A375	combo	1hr	rep1	AMPK alpha (phospho-Thr172)	0.483955929	0.033553623	Good
29	S029	A375	DMSO	3.5hr	rep1	AMPK alpha (phospho-Thr172)	0.412709717	0.034430122	Good
30	S030	A375	901	6hr	rep1	AMPK alpha (phospho-Thr172)	0.431221218	0.030169391	Good
31	S031	A375	4032	6hr	rep1	AMPK alpha (phospho-Thr172)	0.596297167	0.031830509	Good
32	S032	A375	combo	6hr	rep1	AMPK alpha (phospho-Thr172)	0.478334347	0.029306331	Undet.
33	S033	A375	DMSO	24hr	rep1	AMPK alpha (phospho-Thr172)	0.328956611	0.030110261	Good
34	S034	A375	901	24hr	rep1	AMPK alpha (phospho-Thr172)	0.271566711	0.102619818	Good
35	S035	A375	4032	24hr	rep1	AMPK alpha (phospho-Thr172)	0.327477013	0.037167329	Good
36	S036	A375	combo	24hr	rep1	AMPK alpha (phospho-Thr172)	0.360566764	0.027872968	Good
37	S037	A375	DMSO	1hr	rep2	AMPK alpha (phospho-Thr172)	0.608537746	0.049054577	Good
38	S038	A375	901	1hr	rep2	AMPK alpha (phospho-Thr172)	0.405192598	0.029850911	Good
39	S039	A375	4032	1hr	rep2	AMPK alpha (phospho-Thr172)	0.504889971	0.039142489	Good
40	S040	A375	combo	1hr	rep2	AMPK alpha (phospho-Thr172)	0.603669148	0.033237969	Good
41	S041	A375	DMSO	3.5hr	rep2	AMPK alpha (phospho-Thr172)	0.411065194	0.031164208	Good
42	S042	A375	901	6hr	rep2	AMPK alpha (phospho-Thr172)	0.380693387	0.034822431	Good
43	S043	A375	4032	6hr	rep2	AMPK alpha (phospho-Thr172)	0.489919281	0.042937806	Good
44	S044	A375	combo	6hr	rep2	AMPK alpha (phospho-Thr172)	0.432319219	0.026860402	Good
45	S045	A375	DMSO	24hr	rep2	AMPK alpha (phospho-Thr172)	0.365712295	0.045513471	Good
46	S046	A375	901	24hr	rep2	AMPK alpha (phospho-Thr172)	0.350755228	0.050051923	Good
47	S047	A375	4032	24hr	rep2	AMPK alpha (phospho-Thr172)	0.460169272	0.031091375	Good
48	S048	A375	combo	24hr	rep2	AMPK alpha (phospho-Thr172)	0.594534644	0.04086131	Good
1	S001	A2058 	DMSO	1hr	rep1	Bad (phospho-Ser112)	1.080995748	0.018396503	Good
2	S002	A2058 	901	1hr	rep1	Bad (phospho-Ser112)	0.980055483	0.032746658	Good
3	S003	A2058 	4032	1hr	rep1	Bad (phospho-Ser112)	1.201535052	0.030626556	Good
4	S004	A2058 	combo	1hr	rep1	Bad (phospho-Ser112)	1.01344012	0.017021363	Good
5	S005	A2058 	DMSO	3.5hr	rep1	Bad (phospho-Ser112)	1.062409605	0.025618724	Good
6	S006	A2058 	901	6hr	rep1	Bad (phospho-Ser112)	0.929879372	0.022322285	Good
7	S007	A2058 	4032	6hr	rep1	Bad (phospho-Ser112)	0.874417138	0.018357691	Good
8	S008	A2058 	combo	6hr	rep1	Bad (phospho-Ser112)	0.748955253	0.020992063	Good
9	S009	A2058 	DMSO	24hr	rep1	Bad (phospho-Ser112)	1.058188598	0.059747537	Good
10	S010	A2058 	901	24hr	rep1	Bad (phospho-Ser112)	0.943470671	0.016443315	Good
11	S011	A2058 	4032	24hr	rep1	Bad (phospho-Ser112)	0.961313338	0.019093311	Good
12	S012	A2058 	combo	24hr	rep1	Bad (phospho-Ser112)	1.056713785	0.025098558	Good
13	S013	A2058 	DMSO	1hr	rep2	Bad (phospho-Ser112)	1.001154141	0.027155243	Good
