sampleNumber	sampleNameNumber	sampleName	treatment	time	replicate	antibody	readout	cv	quality
44	S044	A375	combo	6hr	rep2	Src (phospho-Tyr527)	0.09641045	0.060451552	Good
45	S045	A375	DMSO	24hr	rep2	Src (phospho-Tyr527)	0.125663154	0.082653291	Good
46	S046	A375	901	24hr	rep2	Src (phospho-Tyr527)	0.100541664	0.033396627	Good
47	S047	A375	4032	24hr	rep2	Src (phospho-Tyr527)	0.103817251	0.049897514	Good
48	S048	A375	combo	24hr	rep2	Src (phospho-Tyr527)	0.103281061	0.046659695	Good
1	S001	A2058 	DMSO	1hr	rep1	Stat3 (phospho-Tyr705)	0.076198238	0.03520072	Good
2	S002	A2058 	901	1hr	rep1	Stat3 (phospho-Tyr705)	0.082949151	0.031887343	Good
3	S003	A2058 	4032	1hr	rep1	Stat3 (phospho-Tyr705)	0.113547201	0.067032256	Good
4	S004	A2058 	combo	1hr	rep1	Stat3 (phospho-Tyr705)	0.081806521	0.031407479	Good
5	S005	A2058 	DMSO	3.5hr	rep1	Stat3 (phospho-Tyr705)	0.084440753	0.033589137	Good
6	S006	A2058 	901	6hr	rep1	Stat3 (phospho-Tyr705)	0.074916386	0.030871489	Good
7	S007	A2058 	4032	6hr	rep1	Stat3 (phospho-Tyr705)	0.069978187	0.033769239	Undet.
8	S008	A2058 	combo	6hr	rep1	Stat3 (phospho-Tyr705)	0.058778443	0.040693632	Undet.
9	S009	A2058 	DMSO	24hr	rep1	Stat3 (phospho-Tyr705)	0.085177164	0.035288007	Undet.
10	S010	A2058 	901	24hr	rep1	Stat3 (phospho-Tyr705)	0.076713142	0.059132164	Good
11	S011	A2058 	4032	24hr	rep1	Stat3 (phospho-Tyr705)	0.09307205	0.030389035	Undet.
12	S012	A2058 	combo	24hr	rep1	Stat3 (phospho-Tyr705)	0.096534472	0.035273743	Good
13	S013	A2058 	DMSO	1hr	rep2	Stat3 (phospho-Tyr705)	0.083717507	0.051496199	Good
14	S014	A2058 	901	1hr	rep2	Stat3 (phospho-Tyr705)	0.100359473	0.083832215	Good
15	S015	A2058 	4032	1hr	rep2	Stat3 (phospho-Tyr705)	0.092971507	0.037386749	Good
16	S016	A2058 	combo	1hr	rep2	Stat3 (phospho-Tyr705)	0.100224077	0.044573019	Good
17	S017	A2058 	DMSO	3.5hr	rep2	Stat3 (phospho-Tyr705)	0.129152	0.046463418	Good
18	S018	A2058 	901	6hr	rep2	Stat3 (phospho-Tyr705)	0.110684152	0.038184415	Good
19	S019	A2058 	4032	6hr	rep2	Stat3 (phospho-Tyr705)	0.091838586	0.03580491	Good
20	S020	A2058 	combo	6hr	rep2	Stat3 (phospho-Tyr705)	0.10812436	0.035221514	Good
21	S021	A2058 	DMSO	24hr	rep2	Stat3 (phospho-Tyr705)	0.070268751	0.040648337	Good
22	S022	A2058 	901	24hr	rep2	Stat3 (phospho-Tyr705)	0.084620738	0.043438082	Good
23	S023	A2058 	4032	24hr	rep2	Stat3 (phospho-Tyr705)	0.06813147	0.042734683	Good
24	S024	A2058 	combo	24hr	rep2	Stat3 (phospho-Tyr705)	0.076181064	0.03184226	Good
25	S025	A375	DMSO	1hr	rep1	Stat3 (phospho-Tyr705)	0.104209553	0.033787845	Good
26	S026	A375	901	1hr	rep1	Stat3 (phospho-Tyr705)	0.127378485	0.029320298	Good
27	S027	A375	4032	1hr	rep1	Stat3 (phospho-Tyr705)	0.109307562	0.031093626	Good
28	S028	A375	combo	1hr	rep1	Stat3 (phospho-Tyr705)	0.093175601	0.045034223	Good
29	S029	A375	DMSO	3.5hr	rep1	Stat3 (phospho-Tyr705)	0.101455926	0.029557406	Good
30	S030	A375	901	6hr	rep1	Stat3 (phospho-Tyr705)	0.100035283	0.030652892	Good
31	S031	A375	4032	6hr	rep1	Stat3 (phospho-Tyr705)	0.095964054	0.033709442	Good
32	S032	A375	combo	6hr	rep1	Stat3 (phospho-Tyr705)	0.090255147	0.033287323	Good
33	S033	A375	DMSO	24hr	rep1	Stat3 (phospho-Tyr705)	0.097515371	0.041870579	Good
34	S034	A375	901	24hr	rep1	Stat3 (phospho-Tyr705)	0.071439312	0.035295158	Good
35	S035	A375	4032	24hr	rep1	Stat3 (phospho-Tyr705)	0.090782033	0.029015027	Good
36	S036	A375	combo	24hr	rep1	Stat3 (phospho-Tyr705)	0.073856547	0.055889147	Good
37	S037	A375	DMSO	1hr	rep2	Stat3 (phospho-Tyr705)	0.112404008	0.032105103	Good
38	S038	A375	901	1hr	rep2	Stat3 (phospho-Tyr705)	0.120872355	0.037502643	Good
39	S039	A375	4032	1hr	rep2	Stat3 (phospho-Tyr705)	0.119048135	0.041597783	Good
40	S040	A375	combo	1hr	rep2	Stat3 (phospho-Tyr705)	0.116014846	0.043660114	Good
41	S041	A375	DMSO	3.5hr	rep2	Stat3 (phospho-Tyr705)	0.096522167	0.03117849	Good
42	S042	A375	901	6hr	rep2	Stat3 (phospho-Tyr705)	0.082648126	0.033190959	Good
43	S043	A375	4032	6hr	rep2	Stat3 (phospho-Tyr705)	0.087767154	0.033084992	Good
44	S044	A375	combo	6hr	rep2	Stat3 (phospho-Tyr705)	0.088928173	0.035610211	Undet.
45	S045	A375	DMSO	24hr	rep2	Stat3 (phospho-Tyr705)	0.122106094	0.032471157	Good
46	S046	A375	901	24hr	rep2	Stat3 (phospho-Tyr705)	0.101101446	0.037921691	Good
47	S047	A375	4032	24hr	rep2	Stat3 (phospho-Tyr705)	0.121684238	0.041394783	Good
48	S048	A375	combo	24hr	rep2	Stat3 (phospho-Tyr705)	0.124917678	0.033449332	Good
1	S001	A2058 	DMSO	1hr	rep1	c-Myc (phospho-Thr58,Ser62)	1.661009891	0.098461611	Good
2	S002	A2058 	901	1hr	rep1	c-Myc (phospho-Thr58,Ser62)	1.896579674	0.057272128	Good
3	S003	A2058 	4032	1hr	rep1	c-Myc (phospho-Thr58,Ser62)	1.820579904	0.060423615	Good
4	S004	A2058 	combo	1hr	rep1	c-Myc (phospho-Thr58,Ser62)	1.768408216	0.093752424	Good
5	S005	A2058 	DMSO	3.5hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.021289652	0.060955343	Good
6	S006	A2058 	901	6hr	rep1	c-Myc (phospho-Thr58,Ser62)	1.675499724	0.035076675	Good
7	S007	A2058 	4032	6hr	rep1	c-Myc (phospho-Thr58,Ser62)	1.746696037	0.062589962	Good
8	S008	A2058 	combo	6hr	rep1	c-Myc (phospho-Thr58,Ser62)	1.951473964	0.019903969	Good
9	S009	A2058 	DMSO	24hr	rep1	c-Myc (phospho-Thr58,Ser62)	1.993908459	0.028297243	Good
10	S010	A2058 	901	24hr	rep1	c-Myc (phospho-Thr58,Ser62)	1.861913243	0.063509506	Good
11	S011	A2058 	4032	24hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.409913337	0.062830243	Good
12	S012	A2058 	combo	24hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.114923082	0.036258702	Good
13	S013	A2058 	DMSO	1hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.141881335	0.072502782	Good
14	S014	A2058 	901	1hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.617020234	0.061281312	Good
15	S015	A2058 	4032	1hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.122901137	0.027995626	Good
16	S016	A2058 	combo	1hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.272702173	0.084109861	Good
17	S017	A2058 	DMSO	3.5hr	rep2	c-Myc (phospho-Thr58,Ser62)	3.21077074	0.096858567	Undet.
18	S018	A2058 	901	6hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.192896517	0.03891673	Good
19	S019	A2058 	4032	6hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.311029029	0.078756192	Good
20	S020	A2058 	combo	6hr	rep2	c-Myc (phospho-Thr58,Ser62)	3.074559973	0.08341626	Good
21	S021	A2058 	DMSO	24hr	rep2	c-Myc (phospho-Thr58,Ser62)	1.766767781	0.0436364	Good
22	S022	A2058 	901	24hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.223345804	0.061513814	Good
23	S023	A2058 	4032	24hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.104445012	0.032918773	Good
24	S024	A2058 	combo	24hr	rep2	c-Myc (phospho-Thr58,Ser62)	1.898585316	0.032380609	Good
25	S025	A375	DMSO	1hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.510260674	0.080006852	Good
26	S026	A375	901	1hr	rep1	c-Myc (phospho-Thr58,Ser62)	3.230329565	0.07288193	Good
27	S027	A375	4032	1hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.404701333	0.038824219	Good
28	S028	A375	combo	1hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.591047466	0.050934631	Good
29	S029	A375	DMSO	3.5hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.944828128	0.037972594	Good
30	S030	A375	901	6hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.287528205	0.034847152	Good
31	S031	A375	4032	6hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.487239854	0.072803095	Good
32	S032	A375	combo	6hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.791631988	0.027186446	Good
33	S033	A375	DMSO	24hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.163688329	0.029597362	Good
34	S034	A375	901	24hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.078334534	0.065546434	Good
35	S035	A375	4032	24hr	rep1	c-Myc (phospho-Thr58,Ser62)	2.7218075	0.039811247	Good
36	S036	A375	combo	24hr	rep1	c-Myc (phospho-Thr58,Ser62)	1.837247731	0.02788874	Good
37	S037	A375	DMSO	1hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.549325002	0.088680067	Undet.
38	S038	A375	901	1hr	rep2	c-Myc (phospho-Thr58,Ser62)	3.033743143	0.064754363	Good
39	S039	A375	4032	1hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.178472935	0.036599498	Good
40	S040	A375	combo	1hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.963025388	0.082170355	Undet.
41	S041	A375	DMSO	3.5hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.87311175	0.039232579	Good
42	S042	A375	901	6hr	rep2	c-Myc (phospho-Thr58,Ser62)	1.963611509	0.028498169	Good
43	S043	A375	4032	6hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.362339829	0.071651888	Good
44	S044	A375	combo	6hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.536961041	0.03790418	Good
45	S045	A375	DMSO	24hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.203747605	0.040763323	Good
46	S046	A375	901	24hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.321733924	0.071795126	Good
47	S047	A375	4032	24hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.729358114	0.064133116	Good
48	S048	A375	combo	24hr	rep2	c-Myc (phospho-Thr58,Ser62)	2.199844505	0.039720633	Good
1	S001	A2058 	DMSO	1hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.05372829	0.029405719	Good
2	S002	A2058 	901	1hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.051029915	0.041991917	Good
3	S003	A2058 	4032	1hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.067540126	0.029350677	Good
4	S004	A2058 	combo	1hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.056041693	0.035103624	Good
5	S005	A2058 	DMSO	3.5hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.054602041	0.031588047	Good
6	S006	A2058 	901	6hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.047912806	0.032617722	Good
7	S007	A2058 	4032	6hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.042839331	0.033101009	Undet.
8	S008	A2058 	combo	6hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.038846806	0.038782027	Good
9	S009	A2058 	DMSO	24hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.052993965	0.054440028	Good
10	S010	A2058 	901	24hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.051837729	0.036554953	Good
11	S011	A2058 	4032	24hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.051461495	0.040631917	Undet.
12	S012	A2058 	combo	24hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.055286872	0.030397666	Undet.
13	S013	A2058 	DMSO	1hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.056276838	0.036840605	Undet.
14	S014	A2058 	901	1hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.053683557	0.04642722	Undet.
15	S015	A2058 	4032	1hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.050684215	0.031351507	Good
16	S016	A2058 	combo	1hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.058751025	0.028260476	Good
17	S017	A2058 	DMSO	3.5hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.06543652	0.025600838	Good
18	S018	A2058 	901	6hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.059644615	0.027802902	Good
19	S019	A2058 	4032	6hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.059632648	0.028607909	Good
20	S020	A2058 	combo	6hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.054238965	0.149857996	Good
21	S021	A2058 	DMSO	24hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.038253973	0.040497915	Good
22	S022	A2058 	901	24hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.049553034	0.033295714	Good
23	S023	A2058 	4032	24hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.039029654	0.07350289	Good
24	S024	A2058 	combo	24hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.044391894	0.030979516	Good
25	S025	A375	DMSO	1hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.054510818	0.029157963	Good
26	S026	A375	901	1hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.065957268	0.024675723	Good
27	S027	A375	4032	1hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.061706626	0.040598454	Good
28	S028	A375	combo	1hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.054849169	0.029624654	Good
29	S029	A375	DMSO	3.5hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.054064931	0.028091493	Good
30	S030	A375	901	6hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.058905427	0.027823401	Undet.
31	S031	A375	4032	6hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.058242121	0.02525855	Good
32	S032	A375	combo	6hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.051520449	0.037040353	Good
33	S033	A375	DMSO	24hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.059372444	0.026895056	Good
34	S034	A375	901	24hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.045269371	0.058248271	Good
35	S035	A375	4032	24hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.046511717	0.118985879	Good
36	S036	A375	combo	24hr	rep1	p70 S6 Kinase (phospho-Thr389)	0.046039113	0.024946985	Good
37	S037	A375	DMSO	1hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.061101706	0.031056411	Good
38	S038	A375	901	1hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.064325122	0.024363095	Good
39	S039	A375	4032	1hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.059865321	0.023202875	Good
40	S040	A375	combo	1hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.066846128	0.047788011	Good
41	S041	A375	DMSO	3.5hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.045148932	0.031139573	Good
42	S042	A375	901	6hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.051907299	0.025264965	Good
43	S043	A375	4032	6hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.048848594	0.037017868	Good
44	S044	A375	combo	6hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.045328373	0.055803062	Good
45	S045	A375	DMSO	24hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.057466791	0.039748491	Good
46	S046	A375	901	24hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.048924179	0.104548646	Good
47	S047	A375	4032	24hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.043759802	0.072770213	Undet.
48	S048	A375	combo	24hr	rep2	p70 S6 Kinase (phospho-Thr389)	0.053112818	0.052380996	Good
1	S001	A2058 	DMSO	1hr	rep1	Caspase 3 (cleaved-Asp175)	0.115061812	0.055966371	Good
2	S002	A2058 	901	1hr	rep1	Caspase 3 (cleaved-Asp175)	0.090646169	0.035520011	Good
3	S003	A2058 	4032	1hr	rep1	Caspase 3 (cleaved-Asp175)	0.120428198	0.026960517	Good
4	S004	A2058 	combo	1hr	rep1	Caspase 3 (cleaved-Asp175)	0.095233729	0.045014528	Good
5	S005	A2058 	DMSO	3.5hr	rep1	Caspase 3 (cleaved-Asp175)	0.09846368	0.024682388	Good
6	S006	A2058 	901	6hr	rep1	Caspase 3 (cleaved-Asp175)	0.091235154	0.030437828	Good
7	S007	A2058 	4032	6hr	rep1	Caspase 3 (cleaved-Asp175)	0.0775893	0.06950792	Good
8	S008	A2058 	combo	6hr	rep1	Caspase 3 (cleaved-Asp175)	0.073514132	0.08187634	Good
9	S009	A2058 	DMSO	24hr	rep1	Caspase 3 (cleaved-Asp175)	0.095188815	0.05057027	Good
10	S010	A2058 	901	24hr	rep1	Caspase 3 (cleaved-Asp175)	0.140809214	0.062632757	Undet.
11	S011	A2058 	4032	24hr	rep1	Caspase 3 (cleaved-Asp175)	0.105307519	0.026200724	Good
12	S012	A2058 	combo	24hr	rep1	Caspase 3 (cleaved-Asp175)	0.167174277	0.048785916	Good
13	S013	A2058 	DMSO	1hr	rep2	Caspase 3 (cleaved-Asp175)	0.10496027	0.047705253	Good
14	S014	A2058 	901	1hr	rep2	Caspase 3 (cleaved-Asp175)	0.095080931	0.044482175	Good
15	S015	A2058 	4032	1hr	rep2	Caspase 3 (cleaved-Asp175)	0.088199766	0.063672902	Good
16	S016	A2058 	combo	1hr	rep2	Caspase 3 (cleaved-Asp175)	0.09289574	0.118734894	Undet.
17	S017	A2058 	DMSO	3.5hr	rep2	Caspase 3 (cleaved-Asp175)	0.107239787	0.0776149	Good
18	S018	A2058 	901	6hr	rep2	Caspase 3 (cleaved-Asp175)	0.09774074	0.02762261	Good
19	S019	A2058 	4032	6hr	rep2	Caspase 3 (cleaved-Asp175)	0.108473078	0.039340991	Good
20	S020	A2058 	combo	6hr	rep2	Caspase 3 (cleaved-Asp175)	0.103785977	0.039923914	Good
21	S021	A2058 	DMSO	24hr	rep2	Caspase 3 (cleaved-Asp175)	0.070600808	0.045508245	Good
22	S022	A2058 	901	24hr	rep2	Caspase 3 (cleaved-Asp175)	0.151786588	0.02675508	Good
23	S023	A2058 	4032	24hr	rep2	Caspase 3 (cleaved-Asp175)	0.075251524	0.033727396	Good
24	S024	A2058 	combo	24hr	rep2	Caspase 3 (cleaved-Asp175)	0.127459175	0.034361359	Good
25	S025	A375	DMSO	1hr	rep1	Caspase 3 (cleaved-Asp175)	0.09843351	0.026725062	Good
26	S026	A375	901	1hr	rep1	Caspase 3 (cleaved-Asp175)	0.097879487	0.081446539	Good
27	S027	A375	4032	1hr	rep1	Caspase 3 (cleaved-Asp175)	0.096292813	0.026518775	Good
28	S028	A375	combo	1hr	rep1	Caspase 3 (cleaved-Asp175)	0.089822099	0.055038512	Good
29	S029	A375	DMSO	3.5hr	rep1	Caspase 3 (cleaved-Asp175)	0.086926053	0.031772091	Good
30	S030	A375	901	6hr	rep1	Caspase 3 (cleaved-Asp175)	0.091454503	0.031101967	Good
31	S031	A375	4032	6hr	rep1	Caspase 3 (cleaved-Asp175)	0.088877648	0.040943244	Good
32	S032	A375	combo	6hr	rep1	Caspase 3 (cleaved-Asp175)	0.073276036	0.055125995	Good
33	S033	A375	DMSO	24hr	rep1	Caspase 3 (cleaved-Asp175)	0.083408393	0.04620322	Good
34	S034	A375	901	24hr	rep1	Caspase 3 (cleaved-Asp175)	0.089227377	0.0265192	Good
35	S035	A375	4032	24hr	rep1	Caspase 3 (cleaved-Asp175)	0.07804463	0.07300084	Good
36	S036	A375	combo	24hr	rep1	Caspase 3 (cleaved-Asp175)	0.084259365	0.026308409	Good
37	S037	A375	DMSO	1hr	rep2	Caspase 3 (cleaved-Asp175)	0.111250544	0.067064317	Good
38	S038	A375	901	1hr	rep2	Caspase 3 (cleaved-Asp175)	0.099760829	0.042937083	Good
39	S039	A375	4032	1hr	rep2	Caspase 3 (cleaved-Asp175)	0.107620105	0.038771907	Good
40	S040	A375	combo	1hr	rep2	Caspase 3 (cleaved-Asp175)	0.113044624	0.031004746	Good
41	S041	A375	DMSO	3.5hr	rep2	Caspase 3 (cleaved-Asp175)	0.087250712	0.071368581	Good
42	S042	A375	901	6hr	rep2	Caspase 3 (cleaved-Asp175)	0.087249931	0.029137846	Good
43	S043	A375	4032	6hr	rep2	Caspase 3 (cleaved-Asp175)	0.084344454	0.028216967	Good
44	S044	A375	combo	6hr	rep2	Caspase 3 (cleaved-Asp175)	0.072610433	0.101699532	Undet.
45	S045	A375	DMSO	24hr	rep2	Caspase 3 (cleaved-Asp175)	0.100426193	0.06259983	Good
46	S046	A375	901	24hr	rep2	Caspase 3 (cleaved-Asp175)	0.098776605	0.029572138	Good
47	S047	A375	4032	24hr	rep2	Caspase 3 (cleaved-Asp175)	0.095599012	0.038733254	Good
48	S048	A375	combo	24hr	rep2	Caspase 3 (cleaved-Asp175)	0.124042962	0.031545764	Undet.
1	S001	A2058 	DMSO	1hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.213684614	0.045945967	Undet.
2	S002	A2058 	901	1hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.247244328	0.040929792	Good
3	S003	A2058 	4032	1hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.254283505	0.046753665	Good
4	S004	A2058 	combo	1hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.235269255	0.040703712	Good
5	S005	A2058 	DMSO	3.5hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.212788553	0.048773604	Good
6	S006	A2058 	901	6hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.194588727	0.04868434	Good
7	S007	A2058 	4032	6hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.169388858	0.104907402	Good
8	S008	A2058 	combo	6hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.144587237	0.033421824	Good
9	S009	A2058 	DMSO	24hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.232090689	0.029281963	Good
10	S010	A2058 	901	24hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.148624686	0.032571977	Undet.
11	S011	A2058 	4032	24hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.171259678	0.030099965	Undet.
12	S012	A2058 	combo	24hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.181251663	0.026503962	Undet.
13	S013	A2058 	DMSO	1hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.233892623	0.046222843	Undet.
14	S014	A2058 	901	1hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.21405935	0.036351508	Good
15	S015	A2058 	4032	1hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.198988952	0.075013169	Good
16	S016	A2058 	combo	1hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.247346257	0.06272758	Good
17	S017	A2058 	DMSO	3.5hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.308283711	0.030949963	Good
18	S018	A2058 	901	6hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.238981896	0.097898652	Good
19	S019	A2058 	4032	6hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.223932935	0.039918878	Undet.
20	S020	A2058 	combo	6hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.236926415	0.073695696	Good
21	S021	A2058 	DMSO	24hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.144031337	0.079570977	Good
22	S022	A2058 	901	24hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.179925169	0.082516167	Good
23	S023	A2058 	4032	24hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.111749193	0.041744968	Undet.
24	S024	A2058 	combo	24hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.134957447	0.026951135	Good
25	S025	A375	DMSO	1hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.299404238	0.029847074	Good
26	S026	A375	901	1hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.325593706	0.032957306	Undet.
27	S027	A375	4032	1hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.237068091	0.089022892	Undet.
28	S028	A375	combo	1hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.24474386	0.029176209	Good
29	S029	A375	DMSO	3.5hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.255145437	0.050533909	Good
30	S030	A375	901	6hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.220899366	0.030547935	Good
31	S031	A375	4032	6hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.259975778	0.030454974	Good
32	S032	A375	combo	6hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.21318684	0.028815323	Good
33	S033	A375	DMSO	24hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.225132539	0.034165245	Good
34	S034	A375	901	24hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.127239473	0.024080838	Good
35	S035	A375	4032	24hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.133405273	0.031776068	Good
36	S036	A375	combo	24hr	rep1	CDK1 (p34cdc2) (phospho-Thr161)	0.118274342	0.051112628	Good
37	S037	A375	DMSO	1hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.312833346	0.03220173	Good
38	S038	A375	901	1hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.317114237	0.027823321	Good
39	S039	A375	4032	1hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.298387028	0.038279021	Good
40	S040	A375	combo	1hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.327555359	0.027179759	Good
41	S041	A375	DMSO	3.5hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.233202763	0.051896625	Undet.
42	S042	A375	901	6hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.204184682	0.027763718	Good
43	S043	A375	4032	6hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.233643716	0.032319778	Good
44	S044	A375	combo	6hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.208479656	0.077467589	Undet.
45	S045	A375	DMSO	24hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.279848988	0.024914544	Undet.
46	S046	A375	901	24hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.1708963	0.031110596	Good
47	S047	A375	4032	24hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.165196601	0.029987307	Good
48	S048	A375	combo	24hr	rep2	CDK1 (p34cdc2) (phospho-Thr161)	0.173724132	0.052839058	Good
1	S001	A2058 	DMSO	1hr	rep1	p44/42 MAPK (Erk1/2) (phospho-Thr202/Thr185,Tyr204/Tyr187))	2.587160499	0.031152033	Good
2	S002	A2058 	901	1hr	rep1	p44/42 MAPK (Erk1/2) (phospho-Thr202/Thr185,Tyr204/Tyr187))	0.331535936	0.039119221	Good
3	S003	A2058 	4032	1hr	rep1	p44/42 MAPK (Erk1/2) (phospho-Thr202/Thr185,Tyr204/Tyr187))	0.437478402	0.032491769	Good
