AntibodyLabel,Source,NodeName,Gene_Symbol,Sites,Effect
c.JUN_pS73,MDACC,cJUNpS73,JUN,S73,a
c.JUN_pS73_RS00273490,MDACC,cJUNpS73,JUN,S73,a
c.JUN_pS73_RS00275861,MDACC,cJUNpS73,JUN,S73,a
c.Jun_pS73.R.C_GBL.9013865,MDACC,cJunpS73,JUN,S73,a
c.Jun_pS73.R.C_GBL9026231,MDACC,cJunpS73,JUN,S73,a
c.Jun_pS73.R.V_GBL1033689,MDACC,cJunpS73,JUN,S73,a
c.Jun_pS73.R.V_GBL1113167,MDACC,cJunpS73,JUN,S73,a
c.Jun_pS73.wR.V_GBL1115101,MDACC,cJunpS73,JUN,S73,a
c.JUN_pS73(C)_GBL9007937,MDACC,cJUNpS73,JUN,S73,a
CJUN,MDACC,cJUN,JUN,NA,c
c.JUN,MDACC,cJUN,JUN,NA,c
c.JUN_RS00273491,MDACC,cJUN,JUN,NA,c
c.JUN_RS00275862,MDACC,cJUN,JUN,NA,c
c.KIT_RS00273426,MDACC,cKIT,KIT,NA,c
c.KIT_RS00276024,MDACC,cKIT,KIT,NA,c
CKIT,MDACC,cKit,KIT,NA,c
c.Kit,MDACC,cKit,KIT,NA,c
c.KIT,MDACC,cKit,KIT,NA,c
c.Kit,MDACC,cKit,KIT,NA,c
c.KIT_V,MDACC,cKit,KIT,NA,c
c.Kit.R.V_GBL.9013866,MDACC,cKit,KIT,NA,c
c.Kit.R.V_GBL1033690,MDACC,cKit,KIT,NA,c
c.Kit.R.V_GBL1113181,MDACC,cKit,KIT,NA,c
c.Kit.R.V_GBL9026344,MDACC,cKit,KIT,NA,c
c.Kit.wR.V_GBL1115102,MDACC,cKit,KIT,NA,c
c.KIT(V)_GBL9007931,MDACC,cKIT,KIT,NA,c
CMET_PY1234_Y1235,MDACC,cMetpY1234Y1235,MET,Y1234|Y1235,a
c.Met_pY1234_Y1235.R.V_GBL1033735,MDACC,cMetpY1234Y1235,MET,Y1234|Y1235,a
c.Met_pY1234_Y1235.R.V_GBL1113226,MDACC,cMetpY1234Y1235,MET,Y1234|Y1235,a
c.Met_pY1234_Y1235.R.V_GBL1114912,MDACC,cMetpY1234Y1235,MET,Y1234|Y1235,a
CMET_PY1235,MDACC,cMetpY1235,MET,Y1235,a
c.Met_pY1235,MDACC,cMetpY1235,MET,Y1235,a
c.Met_pY1235.R.C_GBL.9013872,MDACC,cMetpY1235,MET,Y1235,a
c.Met_pY1235.R.C_GBL9026236,MDACC,cMetpY1235,MET,Y1235,a
CMET,MDACC,cMet,MET,NA,c
c.Met,MDACC,cMet,MET,NA,c
c.Met.M.C_GBL.9012891,MDACC,cMet,MET,NA,c
c.Met.M.C_GBL9026314,MDACC,cMet,MET,NA,c
c.Met.M.Q_GBL1115169,MDACC,cMet,MET,NA,c
c.Met.M.QC_GBL1033899,MDACC,cMet,MET,NA,c
c.Met.M.QC_GBL1113359,MDACC,cMet,MET,NA,c
CMYC,MSKCC,cMyc,MYC,NA,c
c.Myc,MSKCC,cMyc,MYC,NA,c
c.Myc,MSKCC,cMyc,MYC,NA,c
c.Myc (phospho.Thr58,MSKCC,cMycpT58,MYC,T58,i
c.Myc_GBL9008327,MDACC,cMyc,MYC,NA,c
CMYC_PT58,MDACC,cMycpT58,MYC,T58,i
c.Myc_pT58,MDACC,cMycpT58,MYC,T58,i
c.Myc_pT58_GBL9008547,MDACC,cMycpT58,MYC,T58,i
c.Myc_pT58_RS00275705,MDACC,cMycpT58,MYC,T58,i
c.Myc_RS00267485,MDACC,cMyc,MYC,NA,c
c.Myc_RS00275704,MDACC,cMyc,MYC,NA,c
c.Myc.R.C_GBL.9013875,MDACC,cMyc,MYC,NA,c
c.Myc.R.C_GBL1033885,MDACC,cMyc,MYC,NA,c
c.Myc.R.C_GBL1113345,MDACC,cMyc,MYC,NA,c
c.Myc.R.C_GBL1115025,MDACC,cMyc,MYC,NA,c
c.Myc.R.C_GBL9026241,MDACC,cMyc,MYC,NA,c
c.RAF_pS338_GBL9008390,MDACC,cRAFpS338,RAF1,S338,a
C.Raf_pS338,MDACC,CRafpS338,RAF1,S338,a
C.Raf_pS338,MDACC,CRafpS338,RAF1,S338,a
C.Raf_pS338.R.C_GBL.9013909,MDACC,CRafpS338,RAF1,S338,a
C.Raf_pS338.R.C_GBL9026279,MDACC,CRafpS338,RAF1,S338,a
C.Raf_pS338.R.V_GBL1033691,MDACC,CRafpS338,RAF1,S338,a
C.Raf_pS338.R.V_GBL1113169,MDACC,CRafpS338,RAF1,S338,a
C.Raf_pS338.R.V_GBL1114870,MDACC,CRafpS338,RAF1,S338,a
c.RAF_RS00275585,MDACC,cRAF,RAF1,NA,c
C.Raf,MDACC,CRaf,RAF1,NA,c
C.Raf,MDACC,CRaf,RAF1,NA,c
c.RAF,MDACC,cRAF,RAF1,NA,c
cRAF,MDACC,cRAF,RAF1,NA,c
C.Raf.R.V_GBL.9013897,MDACC,CRaf,RAF1,NA,c
C.Raf.R.V_GBL1033856,MDACC,CRaf,RAF1,NA,c
C.Raf.R.V_GBL1113317,MDACC,CRaf,RAF1,NA,c
C.Raf.R.V_GBL1114976,MDACC,CRaf,RAF1,NA,c
C.Raf.R.V_GBL9026278,MDACC,CRaf,RAF1,NA,c
c.RAF(V)_GBL9007917,MDACC,cRAF,RAF1,NA,c
c.RAF(V)_GBL9008520,MDACC,cRAF,RAF1,NA,c
CaseinKinase.1_Epsillon,MDACC,Casein Kinase 1Epsillon,CSNK1E,NA,c
Casein Kinase 1.Epsillon(mouse)_GBL9008363,MDACC,Casein Kinase 1Epsillon,CSNK1E,NA,c
CaseinKinase_mouse,MDACC,Casein Kinase 1Epsillon,CSNK1E,NA,c
CASK,MDACC,CASK,CASK,NA,c
CASK(mouse)_GBL9008353,MDACC,CASK,CASK,NA,c
Caspase 3 (cleaved.Asp175),MSKCC,Caspase3(cleavedAsp175),CASP3,NA,a
CASPASE3_CLEAVED,MSKCC,Caspase3(cleaved),CASP3,NA,a
CASPASE3,MDACC,Caspase 3,CASP3,NA,c
Caspase.3,MDACC,Caspase 3,CASP3,NA,c
Caspase.3,MDACC,Caspase 3,CASP3,NA,c
Caspase.3_RS00273572,MDACC,Caspase 3,CASP3,NA,c
Caspase 3_RS00273572,MDACC,Caspase 3,CASP3,NA,c
Caspase 3_RS00275709 (better),MDACC,Caspase 3,CASP3,NA,c
Caspase 3_RS00275860,MDACC,Caspase 3,CASP3,NA,c
CASPASE7,MDACC,Caspase 7,CASP7,NA,c
Caspase.7,MDACC,Caspase 7,CASP7,NA,c
Caspase.7_RS00273726,MDACC,Caspase 7,CASP7,NA,c
Caspase 7_RS00273726,MDACC,Caspase 7,CASP7,NA,c
Caspase 7_RS00275470,MDACC,Caspase 7,CASP7,NA,c
Caspase 7_RS00276020,MDACC,Caspase 7,CASP7,NA,c
Caspase.7.cleaved,MDACC,Caspase7cleaved,CASP7,NA,a
Caspase_7_Cleaved_C,MDACC,Caspase7cleaved,CASP7,NA,a
Caspase.8,MDACC,Caspase8,CASP8,NA,c
Caspase.8.cleaved,MDACC,Caspase8cleaved,CASP8,NA,c
CASPASE8_CLEAVED,MDACC,Caspase8(Cleaved),CASP8,NA,c
Caspase_8_mouse,MDACC,Caspase8,CASP8,NA,c
Caspase.9,MDACC,Caspase9,CASP9,NA,c
Caspase_9,MDACC,Caspase9,CASP9,NA,c
Caspase_9_clv_Asp315,MDACC,Caspase9cleavedD315,CASP9,NA,a
Caspase_9_clv_Asp330,MDACC,Caspase9cleavedD330,CASP9,NA,a
CASPASE3_ACTIVE,MDACC,Caspase3active,CASP3,NA,a
Caspase.3_active,MDACC,Caspase3active,CASP3,NA,a
Caspase.3_active.R.C_GBL.9013825,MDACC,Caspase3active,CASP3,NA,a
Caspase.3_active.R.C_GBL9026352,MDACC,Casp3ac,CASP3,NA,a
Caspase.3.R.C_GBL1114866,MDACC,Caspase3,CASP3,NA,c
Caspase.3(Active)(C )_GBL9008562,MDACC,Caspase3,CASP3,NA,a
Caspase.7_cleavedD198,MDACC,Caspase7cleavedD198,CASP7,NA,a
Caspase.7_cleavedD198.R.C_GBL.9013826,MDACC,Caspase7cleavedD198,CASP7,NA,a
Caspase.7_cleavedD198.R.C_GBL9026353,MDACC,Casp7clD198,CASP7,NA,a
CASPASE7_CLEAVED,MDACC,Caspase7cleaved,CASP7,NA,a
Caspase.7.cleaved.R.C_GBL1033686,MDACC,Caspase7cleaved,CASP7,NA,a
Caspase.7.cleaved.R.C_GBL1113164,MDACC,Caspase7cleaved,CASP7,NA,a
Caspase.7.cleaved.R.C_GBL1114867,MDACC,Caspase7cleaved,CASP7,NA,a
Caspase.7(cleaved)(C)_GBL9007918,MDACC,Caspase7,CASP7,NA,a
CASPASE8,MDACC,Caspase8,CASP8,NA,c
Caspase.8,MDACC,Caspase8,CASP8,NA,c
Caspase.8.M.C_GBL.9012879,MDACC,Caspase8,CASP8,NA,c
Caspase.8.M.Q_GBL1115045,MDACC,Caspase8,CASP8,NA,a
Caspase.8.M.QC_GBL1033903,MDACC,Caspase8,CASP8,NA,c
Caspase.8.M.QC_GBL1113363,MDACC,Caspase8,CASP8,NA,c
Caspase.8(mouse)_GBL9008354,MDACC,Caspase8,CASP8,NA,c
Caspase.9_cleavedD330,MDACC,Caspase9cleavedD330,CASP9,NA,a
Caspase.9_cleavedD330.R.C_GBL.9013827,MDACC,Caspase9cleavedD330,CASP9,NA,a
Caspase.9_cleavedD330.R.C_GBL9026193,MDACC,Casp9clD330,CASP9,NA,a
CASPASE9,MDACC,Caspase9,CASP9,NA,c
Caspase.9_GBL9008548,MDACC,Caspase9,CASP9,NA,c
CASPASE9_CLEAVED,MDACC,Caspase9cleaved,CASP9,NA,a
Caspase.9.cleaved.R.C_GBL1115222,MDACC,Caspase9cleaved,CASP9,NA,a
Catenin.alpha,MDACC,Cateninalpha,CTNNA1,NA,c
Catenin.alpha(mouse)_GBL9008376,MDACC,Cateninalpha,CTNNA1,NA,c
Caveolin,MDACC,Caveolin,CAV1,NA,c
Caveolin_RS00273722,MDACC,Caveolin,CAV1,NA,c
Caveolin_RS00276017,MDACC,Caveolin,CAV1,NA,c
Caveolin_V,MDACC,Caveolin,CAV1,NA,c
CAVEOLIN1,MDACC,Caveolin1,CAV1,NA,c
Caveolin.1,MDACC,Caveolin1,CAV1,NA,c
Caveolin.1,MDACC,Caveolin1,CAV1,NA,c
Caveolin.1.R.V_GBL.9013829,MDACC,Caveolin1,CAV1,NA,c
Caveolin.1.R.V_GBL1033687,MDACC,Caveolin1,CAV1,NA,c
Caveolin.1.R.V_GBL1113165,MDACC,Caveolin1,CAV1,NA,c
Caveolin.1.R.V_GBL1114868,MDACC,Caveolin1,CAV1,NA,c
Caveolin.1.R.V_GBL9026195,MDACC,Caveolin1,CAV1,NA,c
Caveolin.1(V)_GBL9008603,MDACC,Caveolin1,CAV1,NA,c
CD3ZETA,MDACC,CD3zeta,CD247,NA,c
CD4,MDACC,CD4,CD4,NA,c
CD10,MDACC,CD10,MME,NA,NA
CD11A,MDACC,ITGAL,ITGAL,NA,c
CD20,MDACC,CD20,MS4A1,NA,c
CD20(C )_GBL90085557,MDACC,CD20,MS4A1,NA,c
CD20(C)_GBL9008604,MDACC,CD20,MS4A1,NA,c
CD26,MDACC,CD26,DPP4,NA,c
CD26.R.V_GBL1114995,MDACC,CD26,DPP4,NA,c
CD29,MDACC,CD29,DPP4,NA,c
CD29.M.V_GBL1033911,MDACC,CD29,DPP4,NA,c
CD29.M.V_GBL1113413,MDACC,CD29,DPP4,NA,c
CD29.M.V_GBL1115054,MDACC,CD29,DPP4,NA,c
CD31,MDACC,CD31,PECAM1,NA,c
CD31_RS00273758 (MOUSE),MDACC,CD31,PECAM1,NA,c
CD31_RS00276604 (mouse),MDACC,CD31,PECAM1,NA,c
CD31.M.V_GBL.9012881,MDACC,CD31,PECAM1,NA,c
CD31.M.V_GBL1033933,MDACC,CD31,PECAM1,NA,c
CD31.M.V_GBL1113383,MDACC,CD31,PECAM1,NA,c
CD31.M.V_GBL9026349,MDACC,CD31,PECAM1,NA,c
CD31.wM.V_GBL1115138,MDACC,CD31,PECAM1,NA,c
CD31(mouse)(V)_GBL9007873,MDACC,CD31,PECAM1,NA,c
CD36,MDACC,CD36,CD36,NA,c
CD44,MDACC,CD44,CD44,NA,c
CD44.M.C_GBL1115173,MDACC,CD44,CD44,NA,c
CD45,MDACC,CD45,PTPRC,NA,c
CD49,MDACC,CD49,ITGA2,NA,c
CD49.M.V_GBL.9012882,MDACC,CD49,ITGA2,NA,c
CD496,MDACC,CD49b,ITGA2,NA,c
CD49B,MDACC,CD49b,ITGA2,NA,c
CD49b,MDACC,CD49b,ITGA2,NA,c
CD49b.M.V_GBL1033902,MDACC,CD49b,ITGA2,NA,c
CD49b.M.V_GBL1113362,MDACC,CD49b,ITGA2,NA,c
CD49b.wM.V_GBL1115137,MDACC,CD49b,ITGA2,NA,c
CD49b(mouse)_GBL9008351,MDACC,CD49b,ITGA2,NA,c
CD68,MDACC,CD68,CD68,NA,c
CD86,MDACC,Cd86,CD86,NA,c
CD134,MDACC,CD134,TNFRSF4,NA,c
CD171,MDACC,CD171,L1CAM,NA,c
CDC2,MDACC,CDC2,CDK1,NA,c
CDC2.p34.M.V_GBL1115091,MDACC,CDC2p34,CDK1,NA,c
Cdc2_pY15,MDACC,CDC2pY25,CDK1,Y25,a
CDC2(mouse)_GBL9008375,MDACC,CDC2,CDK1,NA,c
CDC25C,MSKCC,CDC25C,CDC25C,NA,c
cdc25C,MSKCC,CDC25C,CDC25C,NA,c
CDK1 (p34cdc2) (phospho.Thr161),MSKCC,CDK1_pT161,CDK1,T161,a
CDK1 (p34cdc2) (phospho.Tyr15),MSKCC,CDK1_pY15,CDK1,Y15,i
CDK1,MDACC,CDK1,CDK1,NA,c
CDK1.R.V_GBL.9012883,MDACC,CDK1,CDK1,NA,c
CDK1.R.V_GBL.9013830,MDACC,CDK1,CDK1,NA,c
CDK1.R.V_GBL1033788,MDACC,CDK1,CDK1,NA,c
CDK1.R.V_GBL1113265,MDACC,CDK1,CDK1,NA,c
CDK1.R.V_GBL1114937,MDACC,CDK1,CDK1,NA,c
CDK1.R.V_GBL9026196,MDACC,CDK1,CDC2,NA,c
CDK1(mouse)_GBL9008515,MDACC,CDK1,CDK1,NA,c
CDK1_PY15,MDACC,CDK1_pY15,CDK1,Y15,i
CDKN2A,MDACC,CDKN2A,CDKN2A,NA,c
CDKN2A_P16INK4A,MDACC,P16INK4A,CDKN2A,NA,c
CDK2,MDACC,CDK2,CDK2,NA,c
CDK4,MSKCC,CDK4,CDK4,NA,c
Chk1,MDACC,CHK1,CHEK1,NA,c
CHK1,MDACC,CHK1,CHEK1,NA,c
CHK1_GBL9008605,MDACC,CHK1,CHEK1,NA,c
CHK1_PS296,MDACC,Chk1pS296,CHEK1,S296,a
Chk1_pS296,MDACC,Chk1pS296,CHEK1,S296,a
Chk1_pS296.R.V_GBL1114999,MDACC,Chk1pS296,CHEK1,S296,a
CHK1_PS317,MDACC,CHK1pS345,CHEK1,S317,a
CHK1_PS345,MDACC,CHK1pS345,CHEK1,S345,a
Chk1_pS345,MDACC,CHK1pS345,CHEK1,S345,a
CHK1_pS345,MDACC,CHK1pS345,CHEK1,S345,a
CHK1_pS345_GBL9008407,MDACC,CHK1pS345,CHEK1,S345,a
CHK1_pS345_RS00275797,MDACC,CHK1pS345,CHEK1,S345,a
Chk1_pS345.R.C_GBL.9013832,MDACC,Chk1pS345,CHEK1,S345,a
Chk1_pS345.R.C_GBL1033780,MDACC,Chk1pS345,CHEK1,S345,a
Chk1_pS345.R.C_GBL1113257,MDACC,Chk1pS345,CHEK1,S345,a
Chk1_pS345.R.C_GBL9026198,MDACC,Chk1pS345,CHEK1,S345,a
Chk1_pS345.wR.C_GBL1115117,MDACC,Chk1pS345,CHEK1,S345,a
CHK1_RS00275796,MDACC,CHK1,CHEK1,NA,c
Chk1.M.C_GBL1033910,MDACC,Chk1,CHEK1,NA,c
Chk1.M.C_GBL1113374,MDACC,Chk1,CHEK1,NA,c
Chk1.M.C_GBL1115053,MDACC,Chk1,CHEK1,NA,c
Chk1.R.C_GBL.9013831,MDACC,Chk1,CHEK1,NA,c
Chk1.R.C_GBL9026197,MDACC,Chk1,CHEK1,NA,c
CHK1(mouse)_GBL9008345,MDACC,CHK1,CHEK1,NA,c
Chk2 (phospho.Thr68),MSKCC,Chk2_pT68,CHEK2,T68,a
CHK2_mouse,MDACC,CHK2,CHEK2,NA,c
CHK2_PT68,MDACC,Chk2pT68,CHEK2,T68,a
Chk2_pT68,MDACC,Chk2pT68,CHEK2,T68,a
CHK2_pT68,MDACC,Chk2pT68,CHEK2,T68,a
CHK2_pT68_GBL9008608,MDACC,CHK2pT68,CHEK2,T68,a
CHK2_pT68_RS00275798,MDACC,CHK2pT68,CHEK2,T68,a
Chk2_pT68.R.C_GBL1033688,MDACC,Chk2pT68,CHEK2,T68,a
Chk2_pT68.R.C_GBL1113166,MDACC,Chk2pT68,CHEK2,T68,a
Chk2_pT68.R.C_GBL1114869,MDACC,Chk2pT68,CHEK2,T68,a
Chk2_pT68.R.C_GBL9026199,MDACC,Chk2pT68,CHEK2,T68,a
CHK2,MDACC,CHK2,CHEK2,NA,c
CHK2_RS00276382 (mouse),MDACC,CHK2,CHEK2,NA,c
Chk2.M.C_GBL.9012884,MDACC,Chk2,CHEK2,NA,c
Chk2.M.C_GBL9026306,MDACC,Chk2,CHEK2,NA,c
Chk2,MDACC,CHK2,CHEK2,NA,c
Chk2.M.V_GBL1033889,MDACC,Chk2,CHEK2,NA,c
Chk2.M.V_GBL1113349,MDACC,Chk2,CHEK2,NA,c
Chk2.M.V_GBL1115031,MDACC,Chk2,CHEK2,NA,c
CHK2(mouse)_GBL9007870,MDACC,CHK2,CHEK2,NA,c
CHK2(mouse)_GBL9008539,MDACC,CHK2,CHEK2,NA,c
CIAP.1_GBL9008378,MDACC,CIAP1,BIRC2,NA,c
CIAP2,MDACC,cIAP2,BIRC3,NA,c
c.IAP2,MDACC,cIAP2,BIRC3,NA,c
CIAP,MDACC,cIAP,BIRC2,NA,c
cIAP,MDACC,cIAP,BIRC2,NA,c
cIAP.R.V_GBL.9013834,MDACC,cIAP,BIRC2,NA,c
cIAP.R.V_GBL9026200,MDACC,cIAP,BIRC2,NA,c
CITED2,MDACC,CITED2,CITED2,NA,c
CLAUDIN7,MDACC,Claudin7,CLDN7,NA,c
Claudin.7,MDACC,Claudin7,CLDN7,NA,c
Claudin.7,MDACC,Claudin7,CLDN7,NA,c
Claudin.7.R.V_GBL.9013835,MDACC,Claudin7,CLDN7,NA,c
Claudin.7.R.V_GBL1033773,MDACC,Claudin7,CLDN7,NA,c
Claudin.7.R.V_GBL1113250,MDACC,Claudin7,CLDN7,NA,c
Claudin.7.R.V_GBL1114927,MDACC,Claudin7,CLDN7,NA,c
Claudin.7.R.V_GBL9026201,MDACC,Claudin7,CLDN7,NA,c
cMyc_pT58,MDACC,cMycpT58,MYC,T58,i
cMyc_pT58_RS00273763,MDACC,cMycpT58,MYC,T58,i
COFILIN,MDACC,Cofilin,CFL1,NA,c
Cofilin,MDACC,Cofilin,CFL1,NA,c
Cofilin_GBL9008368,MDACC,Cofilin,CFL1,NA,c
COFILIN_PS3,MDACC,CofilinpS3,CFL1,S3,i
Cofilin_pS3,MDACC,CofilinpS3,CFL1,S3,i
Cofilin_pS3(V)_GBL9008339,MDACC,CofilinpS3,CFL1,S3,i
COG3,MDACC,COG3,COG3,NA,c
Connexin.43,MDACC,Connexin43,GJA1,NA,c
COLLAGENVI,MDACC,Collagen VI,COL6A1,NA,c
Collagen.VI,MDACC,Collagen VI,COL6A1,NA,c
Collagen_VI,MDACC,Collagen VI,COL6A1,NA,c
Collagen.VI,MDACC,Collagen VI,COL6A1,NA,c
Collagen VI_RS00273498 ( smear bgd),MDACC,Collagen VI,COL6A1,NA,c
Collagen VI_RS00275868,MDACC,Collagen VI,COL6A1,NA,c
Collagen VI(V)_GBL9007919,MDACC,Collagen VI,COL6A1,NA,c
Collagen_VI.R.V_GBL.9013836,MDACC,CollagenVI,COL6A1,NA,c
Collagen_VI.R.V_GBL9026202,MDACC,CollagenVI,COL6A1,NA,c
Collagen.VI.R.V_GBL1033877,MDACC,CollagenVI,COL6A1,NA,c
Collagen.VI.R.V_GBL1113337,MDACC,CollagenVI,COL6A1,NA,c
Collagen.VI.R.V_GBL1115015,MDACC,CollagenVI,COL6A1,NA,c
Collagenase_VI_V,MDACC,CollagenVI,COL6A1,NA,c
COMPLEX_IV_SUBUNIT1,MDACC,CollagenVI,COL6A1,NA,c
CCL18_PARC,MDACC,CCL18_PARC,CCL18,NA,c
CCL19_MIP_3BETA,MDACC,CCL19_MIP_3BETA,CCL19,NA,c
CCL2_JE_MCP_1,MDACC,CCL2_JE_MCP_1,CCL2,NA,c
CCL3_MIP_1ALPHA,MDACC,CCL3_MIP_1ALPHA,CCL3,NA,c
CCL4_MIP_1BETA,MDACC,CCL4_MIP_1BETA,CCL4,NA,c
CCL5_RANTES,MDACC,CCL5_RANTES,CCL5,NA,c
CCTA,MDACC,CCTA,TCP1,NA,c
CCL8_MCP_2,MDACC,CCL8_MCP_2,CCL8,NA,c
CCL21_6CKINE,MDACC,CCL21_6CKINE,CCL21,NA,c
COMPLEX_II_SUBUNIT_30,MDACC,ComplexIISubunit,SDHB,NA,c
Complex.II.Subunit,MDACC,ComplexIISubunit,SDHB,NA,c
COMPLEX_II_SUBUNIT,MDACC,ComplexIISubunit,SDHB,NA,c
COMPLEX_II_SUBUNIT_30_KDA_IP,MDACC,ComplexIISubunit,SDHA,NA,c
COMPLEX_II_SUBUNIT_RIESKE,MDACC,ComplexIISubunit,SDHA,NA,c
COMPLEX_II_SUBUNIT_RIESKE,MDACC,ComplexIISubunit,SDHB,NA,c
COMPLEX_II_SUBUNIT_RIESKE,MDACC,ComplexIISubunit,SDHC,NA,c
COMPLEX_II_SUBUNIT_NDUFB4,MDACC,ComplexIISubunit,SDHA,NA,c
COMPLEX_II_SUBUNIT_NDUFB4,MDACC,ComplexIISubunit,SDHB,NA,c
COMPLEX_II_SUBUNIT_NDUFB4,MDACC,ComplexIISubunit,SDHC,NA,c
COMPLEX_II_SUBUNIT_CORE2,MDACC,ComplexIISubunit,SDHB,NA,c
COMPLEX_II_SUBUNIT_70_KDA_FP,MDACC,ComplexIISubunit,SDHA,NA,c
Complex.II.Subunit.M.V_GBL1033934,MDACC,ComplexIISubunit,SDHA,NA,c
Complex.II.Subunit.M.V_GBL1033934,MDACC,ComplexIISubunit,SDHB,NA,c
Complex.II.Subunit.M.V_GBL1033934,MDACC,ComplexIISubunit,SDHC,NA,c
Complex.II.Subunit.M.V_GBL1033934,MDACC,ComplexIISubunit,SDHD,NA,c
Complex.II.Subunit.M.V_GBL1113391,MDACC,ComplexIISubunit,SDHA,NA,c
Complex.II.Subunit.M.V_GBL1113391,MDACC,ComplexIISubunit,SDHB,NA,c
Complex.II.Subunit.M.V_GBL1113391,MDACC,ComplexIISubunit,SDHC,NA,c
Complex.II.Subunit.M.V_GBL1113391,MDACC,ComplexIISubunit,SDHD,NA,c
Complex.II.Subunit.M.V_GBL1115078,MDACC,ComplexIISubunit,SDHA,NA,c
Complex.II.Subunit.M.V_GBL1115078,MDACC,ComplexIISubunit,SDHB,NA,c
Complex.II.Subunit.M.V_GBL1115078,MDACC,ComplexIISubunit,SDHC,NA,c
Complex.II.Subunit.M.V_GBL1115078,MDACC,ComplexIISubunit,SDHD,NA,c
CONNEXIN43,MDACC,Connexin43,GJA1,NA,c
Connexin.43.R.C_GBL1115232,MDACC,Connexin43,GJA1,NA,c
COUP.TFII,MDACC,NR2F2,NR2F2,NA,c
Coup.TFII.R.C_GBL1115233,MDACC,NR2F2,NR2F2,NA,c
COP1,MDACC,COP1,COP1,NA,c
COPA,MDACC,COPA,COPA,NA,c
COX.2.R.C_GBL.9013837,MDACC,COX2,PTGS2,NA,c
COX.2.R.C_GBL9026203,MDACC,COX2,PTGS2,NA,c
COXIV,MDACC,CoxIV,COX4I1,NA,c
Cox.IV,MDACC,CoxIV,COX4I1,NA,c
Cox.IV.M.C_GBL1033935,MDACC,CoxIV,COX4I1,NA,c
Cox.IV.M.C_GBL1113397,MDACC,CoxIV,COX4I1,NA,c
Cox.IV.M.C_GBL1115175,MDACC,CoxIV,COX4I1,NA,c
Cox2,MDACC,COX2,PTGS2,NA,c
COX2,MDACC,COX2,PTGS2,NA,c
COX2_RS00273495,MDACC,COX2,PTGS2,NA,c
COX2_RS00275867,MDACC,COX2,PTGS2,NA,c
COX.2,MDACC,Cox2,PTGS2,NA,c
Cox2.R.C_GBL1033859,MDACC,Cox2,PTGS2,NA,c
Cox2.R.C_GBL1113320,MDACC,Cox2,PTGS2,NA,c
Cox2.R.C_GBL1114979,MDACC,Cox2,PTGS2,NA,c
COX2(C )_GBL9008399,MDACC,COX2,PTGS2,NA,c
CREB,MDACC,Creb,CREB1,NA,c
Creb,MDACC,Creb,CREB1,NA,c
CREBBP,MDACC,CREBBP,CREBBP,NA,c
CRM1,MDACC,CRM1,XPO1,NA,c
cRAF_RS00273714,MDACC,cRAF,RAF1,NA,c
CRAF,MDACC,cRAF,RAF1,NA,c
c.RAF,MDACC,cRAF,RAF1,NA,c
cRAF_V,MDACC,cRAF,RAF1,NA,c
CRAF_PS338,MDACC,cRAF,RAF1,S338,a
CSK,MDACC,CSK,CSK,NA,c
CXCR4,MDACC,CXCR4,CXCR4,NA,c
CXCR4.R.C_GBL1114994,MDACC,CXCR4,CXCR4,NA,c
CXCL11_I_TAC,MDACC,CXCL11,CXCL11,NA,c
CXCL13_BCL_BCA_1,MDACC,CXCL13,CXCL13,NA,c
CXCL9_MIG,MDACC,CXCL9,CXCL9,NA,c
CXCR3,MDACC,CXCR3,CXCR3,NA,c
Cyclin B1 (V152),MSKCC,CyclinB1,CCNB1,NA,c
CYCLINA2,MDACC,Cyclin.A2,CCNA2,NA,c
CYCLINB1,MDACC,Cyclin B1,CCNB1,NA,c
Cyclin.B1,MDACC,Cyclin B1,CCNB1,NA,c
Cyclin.B1,MDACC,Cyclin B1,CCNB1,NA,c
Cyclin B1_RS00269170,MDACC,Cyclin B1,CCNB1,NA,c
Cyclin B1_RS00275830,MDACC,Cyclin B1,CCNB1,NA,c
Cyclin B1(V)_GBL9007920,MDACC,Cyclin B1,CCNB1,NA,c
Cyclin B1(V)_GBL9008606,MDACC,Cyclin B1,CCNB1,NA,c
Cyclin C,MSKCC,CyclinC,CCNC,NA,c
CYCLIND1,MSKCC,CyclinD1,CCND1,NA,c
Cyclin.D1,MSKCC,CyclinD1,CCND1,NA,c
Cyclin.D1,MSKCC,CyclinD1,CCND1,NA,c
Cyclin D1,MSKCC,CyclinD1,CCND1,NA,c
Cyclin D1_RS00269171,MDACC,Cyclin D1,CCND1,NA,c
Cyclin D1(V)_GBL9007921,MDACC,Cyclin D1,CCND1,NA,c
CYCLIND3,MDACC,Cyclin D3,CCND3,NA,c
Cyclin.D3,MDACC,Cyclin D3,CCND3,NA,c
CYCLIN.E,MDACC,CyclinE1,CCNE1,NA,c
CYCLINE,MSKCC,CyclinE1,CCNE1,NA,c
Cyclin E_NB,MSKCC,CyclinE1,CCNE1,NA,c
CYCLINE1,MDACC,Cyclin E,CCNE1,NA,c
Cyclin.E1,MDACC,Cyclin E,CCNE1,NA,c
Cyclin.E1,MDACC,Cyclin E,CCNE1,NA,c
Cyclin E(mouse)_GBL9008383,MDACC,Cyclin E,CCNE1,NA,c
Cyclin.E1,MDACC,Cyclin E1,CCNE1,NA,c
