AntibodyLabel,Source,NodeName,Gene_Symbol,Sites,Effect
AMPK.A,MDACC,AMPKA,PRKAA1,NA,c
AMPK.A,MDACC,AMPKA,PRKAA2,NA,c
AMPKa,MDACC,AMPKA,PRKAA1,NA,c
AMPKa,MDACC,AMPKA,PRKAA2,NA,c
AMPK.A_RS00276030,MDACC,AMPKA,PRKAA1,NA,c
AMPK.A_RS00276030,MDACC,AMPKA,PRKAA2,NA,c
AMPKALPHA_PT172,MDACC,AMPKalphapT172,PRKAA1,T172,a
AMPKa_pT172,MDACC,AMPKalphapT172,PRKAA1,T172,a
AMPKa_pT172,MDACC,AMPKalphapT172,PRKAA2,T172,a
AMPK.alpha_pT172.R.V_GBL1033676,MDACC,AMPKalphapT172,PRKAA1,T172,a
AMPK.alpha_pT172.R.V_GBL1033676,MDACC,AMPKalphapT172,PRKAA2,T172,a
AMPK.alpha_pT172.R.V_GBL1113155,MDACC,AMPKalphapT172,PRKAA1,T172,a
AMPK.alpha_pT172.R.V_GBL1113155,MDACC,AMPKalphapT172,PRKAA2,T172,a
AMPK_alpha,MDACC,AMPKalpha,PRKAA1,NA,c
AMPK_alpha,MDACC,AMPKalpha,PRKAA2,NA,c
AMPK.alpha.R.C_GBL1033675,MDACC,AMPKalpha,PRKAA1,NA,c
AMPK.alpha.R.C_GBL1033675,MDACC,AMPKalpha,PRKAA2,NA,c
AMPK.alpha.R.C_GBL1113154,MDACC,AMPKalpha,PRKAA1,NA,c
AMPK.alpha.R.C_GBL1113154,MDACC,AMPKalpha,PRKAA2,NA,c
AMPKa_C,MDACC,AMPKa,PRKAA1,NA,c
AMPKa_pT172_RS00273427,MDACC,AMPKapT172,PRKAA1,T172,a
AMPKa_pT172_RS00273427,MDACC,AMPKapT172,PRKAA2,T172,a
AMPKa_pT172.R.V_GBL1114859,MDACC,AMPKapT172,PRKAA1,T172,a
AMPKa_pT172.R.V_GBL1114859,MDACC,AMPKapT172,PRKAA2,T172,a
AMPKa_RS00273428,MDACC,AMPKa,PRKAA1,NA,c
AMPKa_RS00273428,MDACC,AMPKa,PRKAA2,NA,c
AMPKa.R.C_GBL1114856,MDACC,AMPKa,PRKAA1,NA,c
AMPKa.R.C_GBL1114856,MDACC,AMPKa,PRKAA2,NA,c
AMPKa(C )_GBL9007913,MDACC,AMPKa,PRKAA1,NA,c
AMPKa(C )_GBL9007913,MDACC,AMPKa,PRKAA2,NA,c
ANLN,MDACC,ANLN,ANLN,NA,c
Annexin,MDACC,Annexin,ANXA1,NA,c
Annexin_GBL9008513,MDACC,Annexin,ANXA1,NA,c
ANNEXIN.1,MDACC,AnnexinI,ANXA1,NA,c
ANNEXIN1,MDACC,AnnexinI,ANXA1,NA,c
Annexin.I,MDACC,AnnexinI,ANXA1,NA,c
Annexin_I,MDACC,AnnexinI,ANXA1,NA,c
Annexin_I.R.V_GBL.9013812,MDACC,AnnexinI,ANXA1,NA,c
Annexin_I.R.V_GBL9026179,MDACC,AnnexinI,ANXA1,NA,c
Annexin.I.M.V_GBL1033912,MDACC,AnnexinI,ANXA1,NA,c
Annexin.I.M.V_GBL1113376,MDACC,AnnexinI,ANXA1,NA,c
Annexin.I.M.V_GBL1115055,MDACC,AnnexinI,ANXA1,NA,c
ANNEXINVII,MDACC,AnnexinVII,ANXA1,NA,c
Annexin.VII,MDACC,AnnexinVII,ANXA1,NA,c
Annexin.VII.M.V_GBL1033907,MDACC,AnnexinVII,ANXA1,NA,c
Annexin.VII.M.V_GBL1113371,MDACC,AnnexinVII,ANXA1,NA,c
Annexin.VII.M.V_GBL1115050,MDACC,AnnexinVII,ANXA1,NA,c
AR,MDACC,AR,AR,NA,c
AR_RS00273605,MDACC,AR,AR,NA,c
AR_RS00275696,MDACC,AR,AR,NA,c
AR_V,MDACC,AR,AR,NA,c
AR.R.V_GBL.9013813,MDACC,AR,AR,NA,c
AR.R.V_GBL1033738,MDACC,AR,AR,NA,c
AR.R.V_GBL1113229,MDACC,AR,AR,NA,c
AR.R.V_GBL1115200,MDACC,AR,AR,NA,c
AR.R.V_GBL9026335,MDACC,AR,AR,NA,c
AR(AR441)(mouse)_GBL9008523,MDACC,AR,AR,NA,c
AR(C19)_GBL9008565,MDACC,AR,AR,NA,c
AR(N20)_GBL9008524,MDACC,AR,AR,NA,c
AR(N20)_GBL9008580,MDACC,AR,AR,NA,c
AR(V)_GBL9007914,MDACC,AR,AR,NA,c
ARHI,MDACC,ARHI,DIRAS3,NA,c
ARHI.M.C_GBL1033929,MDACC,ARHI,DIRAS3,NA,c
